timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1646157363021,1556,tlen.pl request,200,OK,tlen.pl users 1-1,text,true,,292991,112,10,10,https://www.o2.pl/,1483,0,967
1646157363202,1327,tlen.pl request,200,OK,tlen.pl users 1-6,text,true,,291057,112,10,10,https://www.o2.pl/,1236,0,776
1646157363402,1168,tlen.pl request,200,OK,tlen.pl users 1-8,text,true,,294598,112,10,10,https://www.o2.pl/,988,0,578
1646157363504,1018,tlen.pl request,200,OK,tlen.pl users 1-9,text,true,,294540,112,10,10,https://www.o2.pl/,636,0,469
1646157363021,1564,tlen.pl request,200,OK,tlen.pl users 1-3,text,true,,290626,112,10,10,https://www.o2.pl/,1490,0,953
1646157363107,1482,tlen.pl request,200,OK,tlen.pl users 1-5,text,true,,292164,112,10,10,https://www.o2.pl/,1403,0,875
1646157363307,1289,tlen.pl request,200,OK,tlen.pl users 1-7,text,true,,294761,112,10,10,https://www.o2.pl/,1197,0,684
1646157363021,1606,tlen.pl request,200,OK,tlen.pl users 1-2,text,true,,294561,112,10,10,https://www.o2.pl/,1057,0,954
1646157363021,1635,tlen.pl request,200,OK,tlen.pl users 1-4,text,true,,293836,112,10,10,https://www.o2.pl/,1116,0,941
1646157364586,107,tlen.pl request,200,OK,tlen.pl users 1-3,text,true,,294631,112,10,10,https://www.o2.pl/,78,0,0
1646157364591,120,tlen.pl request,200,OK,tlen.pl users 1-5,text,true,,294592,112,10,10,https://www.o2.pl/,86,0,0
1646157364587,129,tlen.pl request,200,OK,tlen.pl users 1-1,text,true,,292133,112,10,10,https://www.o2.pl/,101,0,0
1646157364587,154,tlen.pl request,200,OK,tlen.pl users 1-6,text,true,,294553,112,10,10,https://www.o2.pl/,128,0,0
1646157364592,154,tlen.pl request,200,OK,tlen.pl users 1-9,text,true,,294546,112,10,10,https://www.o2.pl/,130,0,0
1646157363602,1150,tlen.pl request,200,OK,tlen.pl users 1-10,text,true,,294548,112,10,10,https://www.o2.pl/,476,0,363
1646157364657,122,tlen.pl request,200,OK,tlen.pl users 1-4,text,true,,294537,112,10,10,https://www.o2.pl/,100,0,0
1646157364588,206,tlen.pl request,200,OK,tlen.pl users 1-8,text,true,,278084,112,10,10,https://www.o2.pl/,125,0,0
1646157364596,212,tlen.pl request,200,OK,tlen.pl users 1-7,text,true,,294523,112,10,10,https://www.o2.pl/,190,0,0
1646157364694,131,tlen.pl request,200,OK,tlen.pl users 1-3,text,true,,294530,112,10,10,https://www.o2.pl/,113,0,0
1646157364627,199,tlen.pl request,200,OK,tlen.pl users 1-2,text,true,,292157,112,10,10,https://www.o2.pl/,100,0,0
1646157364748,87,tlen.pl request,200,OK,tlen.pl users 1-6,text,true,,294648,112,10,10,https://www.o2.pl/,71,0,0
1646157364712,132,tlen.pl request,200,OK,tlen.pl users 1-5,text,true,,294578,112,10,10,https://www.o2.pl/,118,0,0
1646157364779,87,tlen.pl request,200,OK,tlen.pl users 1-4,text,true,,294593,112,10,10,https://www.o2.pl/,71,0,0
